code,lib,inscrits,abstentions,votants,blancs,nuls,exprimes,LFI,REN,PSPP,RN,EELV,LR,REC,UPR,PARTI_ANIMAL,ECO_AU_CENTRE,ALLIANCE_RURAL,PCF,PATRIOTES,EUROPE_TERRITOIRES_ECOLOGIES,EQUINOXE,LO,ECO_POSI_ET_TERRITOIRE,42,NPA,DEFENDRE_LES_ENFANTS,ESPERANTO,FORTERESSE_EUROPE,43,FRANCE_LIBRE,10,PARTI_PIRATE,40,PARTI_DES_TRAVAILLEURS,PAIX_ET_DECROISSANCE,POUR_UNE-HUMANITE_SOUVERAINE,41,PARTI_CITOYENS_EUROPEENS,NOUVELLE_DONNE,ASSOCIATION_NATIONALE_DES_COMMUNISTES,45
63163,Gelles,786,338,448,15,12,421,16,62,43,145,22,48,23,2,4,2,38,4,2,,1,2,3,,1,,,,,,,,,,,,2,,1,,
63205,Manglieu,368,122,246,2,9,235,18,23,23,72,16,19,10,5,12,7,5,16,4,,1,2,1,,,,1,,,,,,,,,,,,,,
63220,Mazoires,115,55,60,1,0,59,1,8,4,24,1,6,3,,,,10,2,,,,,,,,,,,,,,,,,,,,,,,
63223,Menat,471,219,252,8,6,238,16,27,21,91,8,10,16,2,4,2,13,20,2,,1,2,1,,2,,,,,,,,,,,,,,,,
63225,Messeix,923,428,495,13,9,473,13,38,80,198,8,36,20,2,14,3,32,22,2,,1,3,,,1,,,,,,,,,,,,,,,,
63227,Mirefleurs,1847,740,1107,20,17,1070,65,153,176,317,72,82,49,11,23,31,19,41,9,4,2,6,5,,3,,1,,,,,,,,,,1,,,,
63383,Saint-Pierre-Colamine,229,102,127,3,1,123,4,12,16,52,8,4,7,1,2,,8,7,,,,,1,,1,,,,,,,,,,,,,,,,
63384,Saint-Pierre-la-Bourlhonne,141,60,81,4,2,75,2,5,9,33,2,5,4,,1,1,5,5,,1,2,,,,,,,,,,,,,,,,,,,,
63449,Le Vernet-Sainte-Marguerite,284,136,148,0,4,144,9,13,14,44,9,21,3,,5,3,14,4,1,,1,,3,,,,,,,,,,,,,,,,,,
63472,Yronde-et-Buron,564,182,382,8,6,368,25,65,75,83,28,17,9,4,10,7,22,14,4,,,2,1,,1,,,1,,,,,,,,,,,,,
63107,Chavaroux,375,143,232,4,1,227,8,34,32,72,4,26,10,1,9,2,11,9,4,3,,1,1,,,,,,,,,,,,,,,,,,
63240,Montpensier,356,128,228,9,7,212,7,32,21,77,7,25,10,,2,3,16,8,3,,,,1,,,,,,,,,,,,,,,,,,
63372,Saint-Laure,499,190,309,11,6,292,16,25,50,111,8,25,14,4,12,3,10,6,4,,1,,3,,,,,,,,,,,,,,,,,,
63213,Les Martres-d'Artière,1716,675,1041,16,10,1015,46,147,101,441,21,83,48,4,17,21,27,37,5,3,2,8,2,,,,,,,,,,,,,,1,,1,,
63315,Saint-Amant-Tallende,1328,487,841,16,13,812,53,150,156,198,42,59,34,10,21,14,17,26,8,9,2,3,6,,2,,,,,,,2,,,,,,,,,
63395,Saint-Sandoux,746,305,441,15,11,415,27,42,52,138,24,40,19,5,11,6,19,14,2,2,4,3,5,,,,,,,,,1,,,,,,,1,,
63406,Sardon,242,86,156,6,6,144,8,17,16,47,6,24,6,1,6,,4,5,1,,3,,,,,,,,,,,,,,,,,,,,
63473,Yssac-la-Tourette,314,98,216,5,3,208,15,50,38,39,11,21,10,1,1,3,10,3,1,,,4,1,,,,,,,,,,,,,,,,,,
63183,Labessette,66,22,44,0,0,44,2,10,8,9,1,9,,,1,1,2,,,1,,,,,,,,,,,,,,,,,,,,,
63076,Chambon-sur-Dolore,158,58,100,2,5,93,1,7,16,34,5,6,7,,1,1,5,8,,,,,1,,,,,,,,,,,,,,1,,,,
63209,Mareugheol,175,63,112,4,1,107,1,18,16,38,8,9,3,1,3,,1,5,1,,1,1,1,,,,,,,,,,,,,,,,,,
63210,Maringues,2116,1048,1068,23,35,1010,42,101,124,391,28,59,56,11,41,10,33,91,5,3,1,8,1,,,,1,,,2,,1,,,,,1,,,,
63328,Sainte-Catherine,68,25,43,0,0,43,5,3,4,13,1,1,4,,,,5,3,1,,,1,,,1,,,,,,,,,,,,1,,,,
63329,Sainte-Christine,113,28,85,1,1,83,4,12,17,9,6,5,1,1,4,,13,7,2,,,1,,,1,,,,,,,,,,,,,,,,
63331,Saint-Clément-de-Valorgue,234,80,154,8,3,143,9,17,14,56,3,9,8,1,4,,10,4,4,,1,2,,,1,,,,,,,,,,,,,,,,
63332,Saint-Clément-de-Régnat,482,210,272,10,5,257,11,24,29,106,7,18,16,1,6,4,11,15,5,,,2,2,,,,,,,,,,,,,,,,,,
63002,Aix-la-Fayette,92,30,62,0,2,60,4,4,4,15,3,6,,2,6,,4,5,2,,1,,1,,1,,,,,,,1,,,,,1,,,,
63060,Bussières,110,35,75,1,4,70,6,5,5,23,6,5,1,1,2,,6,9,,,,,1,,,,,,,,,,,,,,,,,,
63061,Bussières-et-Pruns,301,133,168,6,3,159,11,15,24,57,4,15,7,2,1,4,8,6,2,,,2,,,,,,,,,,1,,,,,,,,,
63062,Buxières-sous-Montaigut,160,61,99,3,3,93,4,7,16,30,1,6,2,,,1,14,4,6,,,2,,,,,,,,,,,,,,,,,,,
63098,Chastreix,246,67,179,4,3,172,11,15,22,40,7,28,17,1,3,1,11,5,4,,1,2,,,,,,,,4,,,,,,,,,,,
63100,Châteauneuf-les-Bains,282,106,176,2,4,170,10,13,24,58,14,20,5,1,1,,8,8,2,1,2,1,1,,1,,,,,,,,,,,,,,,,
63125,Courpière,3294,1636,1658,34,45,1579,86,172,187,615,37,79,56,20,34,17,43,191,17,2,4,8,3,,4,,,,,,,,,,,,3,,1,,
63126,Le Crest,1044,390,654,10,15,629,24,132,105,170,33,54,26,3,6,7,21,20,5,5,6,4,1,,2,,,,,,,4,,,,,,,1,,
63147,Églisolles,271,121,150,5,4,141,3,17,15,54,7,11,11,1,1,,5,15,,,,1,,,,,,,,,,,,,,,,,,,
63148,Ennezat,1857,729,1128,28,21,1079,39,185,184,356,42,75,53,7,21,21,26,44,6,6,1,5,6,,2,,,,,,,,,,,,,,,,
63149,Entraigues,531,203,328,8,14,306,17,35,52,104,13,14,10,3,8,3,11,32,1,,2,1,,,,,,,,,,,,,,,,,,,
63150,Enval,1133,455,678,7,9,662,56,124,118,168,45,40,24,7,8,9,15,22,7,1,4,3,4,,1,,,,,,,,,,1,,1,,4,,
63151,Escoutoux,1191,487,704,20,18,666,33,79,80,269,22,31,27,2,14,6,36,49,8,2,,3,3,,1,,,,,,,,,,,,,,,,
63152,Espinasse,277,115,162,2,0,160,11,17,18,58,6,13,7,1,4,1,13,7,2,,,2,,,,,,,,,,,,,,,,,,,
63164,Gerzat,7403,3859,3544,52,94,3398,326,429,408,1286,132,206,156,22,79,47,72,126,35,9,8,39,7,1,6,,1,,,,,,,,,,1,,2,,
63271,Paslières,1161,480,681,16,15,650,41,71,58,271,15,24,25,4,16,4,23,92,1,,2,,3,,,,,,,,,,,,,,,,,,
63299,Rentières,101,35,66,0,3,63,4,6,5,23,3,7,5,,2,,4,3,1,,,,,,,,,,,,,,,,,,,,,,
63300,Riom,12508,5738,6770,81,117,6572,505,1029,1289,1582,424,553,299,69,136,113,108,278,44,14,22,46,28,6,13,,1,1,,1,,3,,1,,,2,1,4,,
63301,Ris,594,283,311,9,15,287,10,20,18,145,4,15,9,4,11,2,7,35,2,1,,2,1,,1,,,,,,,,,,,,,,,,
63302,La Roche-Blanche,2606,1065,1541,19,26,1496,82,283,305,338,95,127,77,13,34,24,36,43,13,3,8,4,5,,,,1,,,,,1,,,,,1,2,1,,
63303,Roche-Charles-la-Mayrand,47,24,23,2,1,20,,,5,7,,3,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
63304,Roche-d'Agoux,93,32,61,1,2,58,1,7,7,16,1,3,2,2,1,,7,9,,,,2,,,,,,,,,,,,,,,,,,,
63385,Saint-Pierre-le-Chastel,353,150,203,4,3,196,11,22,20,71,11,22,9,,4,2,15,4,,,2,1,,,,,,,,,,,,,,,2,,,,
63206,Manzat,1123,528,595,5,13,577,32,79,97,199,28,36,21,8,9,11,26,14,5,,2,3,3,,3,,1,,,,,,,,,,,,,,
63207,Marat,667,272,395,1,9,385,9,36,42,149,14,21,27,5,5,2,25,32,11,,1,3,,,1,,,,,,,1,,,,,,,1,,
63394,Saint-Romain,232,71,161,5,4,152,8,21,22,41,10,9,6,6,1,2,7,18,,,,,1,,,,,,,,,,,,,,,,,,
63297,Reignat,264,84,180,9,3,168,10,15,16,66,10,9,6,4,1,7,6,14,1,,,2,,,,,,,,,,,,,,,,,1,,
63143,Effiat,821,290,531,14,12,505,29,52,53,210,24,33,27,5,14,5,14,20,2,4,5,6,2,,,,,,,,,,,,,,,,,,
63184,Lachaux,277,126,151,4,8,139,15,18,15,34,9,10,6,,3,1,6,13,3,,,3,3,,,,,,,,,,,,,,,,,,
63185,Lamontgie,497,218,279,5,3,271,15,25,31,123,13,12,12,4,5,3,10,8,4,1,,4,,,,,,,,,,,,,,,,,1,,
63109,Chidrac,355,139,216,7,6,203,16,15,14,77,13,14,13,1,1,8,4,12,4,1,,2,3,,1,,,,,,,,,,,,4,,,,
63074,Chalus,140,51,89,3,2,84,8,11,11,17,4,7,1,4,2,2,3,8,3,,,3,,,,,,,,,,,,,,,,,,,
63280,Pignols,284,115,169,6,1,162,10,27,36,43,9,11,3,,1,3,7,9,,1,,,1,,,,,,,,,,,,,,1,,,,
63014,Aubière,6527,2781,3746,47,46,3653,294,628,689,861,212,299,181,34,85,48,65,93,35,10,17,19,17,,2,10,,,,,,4,1,,,,8,,11,,30
63049,Bouzel,595,239,356,11,7,338,10,43,38,123,16,21,27,1,13,11,9,20,3,,,1,,,1,,,,,,,,,,,,1,,,,
63075,Chamalières,12787,5194,7593,71,83,7439,378,1612,1458,1384,435,1069,448,42,162,85,66,130,72,16,22,8,18,,13,,1,1,,,,1,,,1,,2,,11,,4
63089,Chappes,1323,568,755,19,14,722,38,100,89,274,20,62,32,3,14,10,20,37,4,3,1,9,1,,1,,1,,,1,,,,,,,1,,1,,
63154,Espirat,324,133,191,4,2,185,8,14,27,66,10,14,8,,6,3,6,15,4,,1,3,,,,,,,,,,,,,,,,,,,
63282,Plauzat,1333,591,742,19,9,714,62,96,117,210,47,54,16,7,10,14,22,40,6,3,4,2,2,,1,,,,,,,1,,,,,,,,,
63443,Varennes-sur-Morge,320,132,188,6,6,176,7,38,21,62,5,13,4,6,3,,5,5,2,,,,2,,2,,,,,,,,,,,,,,1,,
63059,Busséol,163,46,117,1,1,115,4,15,20,36,12,5,2,2,2,,10,5,1,,,1,,,,,,,,,,,,,,,,,,,
63200,Lussat,718,298,420,7,10,403,16,62,47,172,6,35,15,3,9,4,16,9,2,2,,2,3,,,,,,,,,,,,,,,,,,
63411,Sauvagnat-Sainte-Marthe,378,145,233,0,3,230,15,15,35,96,11,20,6,1,5,,7,14,1,,,3,,,1,,,,,,,,,,,,,,,,
63072,Chabreloche,934,439,495,3,29,463,21,50,56,214,11,15,31,2,5,5,20,22,4,,1,2,1,,2,,,,,,,,,,,,,,1,,
63348,Saint-Genès-la-Tourette,177,63,114,4,0,110,7,11,21,29,6,10,3,,2,1,10,8,,,,1,,,1,,,,,,,,,,,,,,,,
63013,Aubiat,833,341,492,12,13,467,20,55,53,193,20,50,13,4,5,5,13,21,2,,2,5,6,,,,,,,,,,,,,,,,,,
63028,Bagnols,396,131,265,5,6,254,6,22,39,77,11,52,5,5,4,,17,12,2,1,,1,,,,,,,,,,,,,,,,,,,
63029,Bansat,198,73,125,2,7,116,11,10,21,29,9,5,7,2,1,2,8,5,1,1,,,2,,1,,,,,,,,,,,,1,,,,
63030,Bas-et-Lezat,289,102,187,2,6,179,3,22,18,90,5,10,10,,4,3,8,3,,,2,1,,,,,,,,,,,,,,,,,,,
63031,Beaulieu,350,138,212,1,4,207,9,16,28,85,10,10,9,1,8,3,12,13,2,,,1,,,,,,,,,,,,,,,,,,,
63038,Besse-et-Saint-Anastaise,1291,606,685,16,10,659,31,101,100,209,18,67,32,1,9,8,50,20,2,4,1,5,,,,,,,,,,,,,,,,,1,,
